[rosmaster.main][INFO] 2021-05-18 15:23:34,958: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-05-18 15:23:34,959: Starting ROS Master Node
[xmlrpc][INFO] 2021-05-18 15:23:34,960: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-05-18 15:23:34,960: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2021-05-18 15:23:34,960: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-05-18 15:23:34,960: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2021-05-18 15:23:35,049: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 15:23:35,051: +PARAM [/roslaunch/uris/host_ubuntu__35975] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 15:23:35,143: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:38225/
[rosmaster.master][INFO] 2021-05-18 15:23:35,145: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:38225/
[rosmaster.master][INFO] 2021-05-18 15:23:35,151: +PUB [/rosout_agg] /rosout http://ubuntu:38225/
[rosmaster.master][INFO] 2021-05-18 15:23:35,157: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 15:23:35,158: +PARAM [/racecar/left_rear_wheel_velocity_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 15:23:35,158: +PARAM [/move_base/TebLocalPlannerROS/feasibility_check_no_poses] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 15:23:35,159: +PARAM [/move_base/local_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 15:23:35,159: +PARAM [/move_base/global_costmap/obstacle_layer/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 15:23:35,159: +PARAM [/racecar/left_rear_wheel_velocity_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 15:23:35,159: +SUB [/rosout] /rosout http://ubuntu:38225/
[rosmaster.master][INFO] 2021-05-18 15:23:35,159: +PARAM [/move_base/TebLocalPlannerROS/weight_max_vel_theta] by /roslaunch
