[rosmaster.main][INFO] 2021-05-18 16:33:44,558: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-05-18 16:33:44,558: Starting ROS Master Node
[xmlrpc][INFO] 2021-05-18 16:33:44,559: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-05-18 16:33:44,559: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2021-05-18 16:33:44,559: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-05-18 16:33:44,559: Master initialized: port[11311], uri[http://ubuntu:11311/]
[rosmaster.master][INFO] 2021-05-18 16:33:44,567: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,569: +PARAM [/roslaunch/uris/host_ubuntu__45941] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,645: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:42831/
[rosmaster.master][INFO] 2021-05-18 16:33:44,645: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,646: +PARAM [/racecar/left_rear_wheel_velocity_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,646: +PARAM [/move_base/TebLocalPlannerROS/feasibility_check_no_poses] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,646: +PARAM [/move_base/local_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,646: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:42831/
[rosmaster.master][INFO] 2021-05-18 16:33:44,646: +PARAM [/move_base/global_costmap/obstacle_layer/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,647: +PARAM [/racecar/left_rear_wheel_velocity_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,648: +PARAM [/move_base/TebLocalPlannerROS/weight_max_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,649: +PARAM [/move_base/TebLocalPlannerROS/include_dynamic_obstacles] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,649: +PARAM [/move_base/TebLocalPlannerROS/delete_detours_backwards] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,649: +PARAM [/move_base/TebLocalPlannerROS/footprint_model/rear_radius] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,650: +PARAM [/racecar/left_rear_wheel_velocity_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,650: +PARAM [/move_base/TebLocalPlannerROS/footprint_model/front_radius] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,650: +PARAM [/racecar/right_front_wheel_velocity_controller/type] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,650: +PARAM [/move_base/TebLocalPlannerROS/global_plan_prune_distance] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,651: +PARAM [/racecar/left_steering_hinge_position_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,651: +PARAM [/move_base/TebLocalPlannerROS/footprint_model/rear_offset] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,651: +PARAM [/racecar/left_steering_hinge_position_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,651: +PARAM [/move_base/TebLocalPlannerROS/roadmap_graph_area_width] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,652: +PARAM [/move_base/TebLocalPlannerROS/max_ratio_detours_duration_best_duration] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,652: +PARAM [/move_base/local_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,652: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,653: +PARAM [/move_base/TebLocalPlannerROS/shrink_horizon_min_duration] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,653: +PARAM [/racecar/left_front_wheel_velocity_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,653: +PARAM [/move_base/TebLocalPlannerROS/acc_lim_theta] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,653: +PARAM [/move_base/global_costmap/inflation_layer/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,653: +PARAM [/move_base/TebLocalPlannerROS/max_global_plan_lookahead_dist] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,654: +PARAM [/racecar/left_steering_hinge_position_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,654: +PARAM [/move_base/planner_frequency] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,654: +PARAM [/move_base/TebLocalPlannerROS/weight_adapt_factor] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,655: +SUB [/clock] /rosout http://ubuntu:42831/
[rosmaster.master][INFO] 2021-05-18 16:33:44,655: +PARAM [/move_base/TebLocalPlannerROS/footprint_model/radius] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,655: +PARAM [/move_base/TebLocalPlannerROS/optimization_verbose] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,655: +PARAM [/move_base/global_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,656: +PUB [/rosout_agg] /rosout http://ubuntu:42831/
[rosmaster.master][INFO] 2021-05-18 16:33:44,656: +PARAM [/move_base/global_costmap/obstacle_layer/laser_scan_sensor/clearing] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,656: +PARAM [/move_base/TebLocalPlannerROS/no_outer_iterations] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,656: +PARAM [/move_base/TebLocalPlannerROS/global_plan_overwrite_orientation] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,657: +PARAM [/move_base/controller_patience] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,658: +PARAM [/racecar/left_steering_hinge_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,658: +PARAM [/move_base/TebLocalPlannerROS/dt_ref] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,658: +PARAM [/move_base/local_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,659: +PARAM [/move_base/local_costmap/resolution] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,659: +PARAM [/move_base/global_costmap/plugins] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,660: +PARAM [/move_base/TebLocalPlannerROS/weight_dynamic_obstacle] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,660: +PARAM [/move_base/global_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,660: +PARAM [/racecar/right_rear_wheel_velocity_controller/type] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,660: +PARAM [/move_base/TebLocalPlannerROS/weight_inflation] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,661: +PARAM [/move_base/TebLocalPlannerROS/weight_viapoint] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,661: +PARAM [/move_base/local_costmap/width] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,661: +PARAM [/move_base/TebLocalPlannerROS/h_signature_prescaler] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,661: +PARAM [/move_base/local_costmap/obstacle_layer/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2021-05-18 16:33:44,661: +SUB [/rosout] /rosout http://ubuntu:42831/
